CONDOMINIO ALPHA;Rua das Flores, 100 - Centro (Cidade Exemplo/UF)
CONDOMINIO BETA;Avenida Principal, 250 - Bairro Norte (Cidade Exemplo/UF)
CONDOMINIO GAMMA;Rua dos Pinheiros, 45 - Bairro Sul (Cidade Exemplo/UF)
RESIDENCIAL DELTA;Travessa das Palmeiras, 12 - Jardim Leste (Cidade Exemplo/UF)
EDIFICIO EPSILON;Praca da Liberdade, 7 - Centro Historico (Cidade Exemplo/UF)
CONDOMINIO ZETA;Rua do Comercio, 380 - Bairro Oeste (Cidade Exemplo/UF)
RESIDENCIAL ETA;Avenida Beira Mar, 1500 - Zona Costeira (Cidade Exemplo/UF)
EDIFICIO THETA;Rua das Acacias, 66 - Vila Nova (Cidade Exemplo/UF)
CONDOMINIO IOTA;Alameda dos Ipes, 210 - Parque Verde (Cidade Exemplo/UF)
RESIDENCIAL KAPPA;Rua Sao Joao, 88 - Centro (Cidade Exemplo/UF)
